|1251||rúdtartó kúpcserépre,V2A+felfogórúd Al 1500mm Rd 10/16mm|VI|db|1|35349|4059273174150|85354000|1.73
|1252||felfogócsúcs aluminium|VI|db|100|517|4059273005645|76169990|0.0105
|1253||felfogócsúcs réz|VI|db|100|1235|4059273005652|74199990|0.0235
|1254||rúdtartó cserép alá V2A  + felfogórúd 1000mm|VI|db|1|31924|4059273005669|85354000|1.11
|1254s1||rúdtartó cserép alá V2A |VI|db|1|29383|4059273056678|85354000|0.86
|1254s2||rúdtartó cserép alá V2A  + felfogórúd 1500mm|VI|db|1|75621|4059273056692|85354000|3.42
|1254s3||rúdtartó cserép alá V2A - dupla tartóval|VI|db|1|70053|4059273056708|85354000|3.04
|1255||rúdtartó kúpcserépre,V2A+felfogórúd Al 1000mm Rd 10/16mm|VI|db|1|9223|4059273005676|73269098|0.51
|1255s2||rúdtartó kúpcserépre,V2A+felfogórúd Al 1350mm Rd 10/16mm|VI|db|1|35349|4059273056913|85354000|1.8
|1255S26||rúdtartó kúpcserépre V2A felfogó nélkül|VI|db|1|35067|4059273056975|85354000|1.8
|1257||rúdtartó gerinchez V2A+felfogórúd Al 1000/Rd10 mm|VI|db|1|42448|4059273005690|73269098|33.73
|1259||rúdtartó gerinchez V2A+felfogórúd Al 2000/Rd16/10 mm|VI|db|1|96277|4059273005706|73269098|46.9
|1263||peremkapocs 8-10mm, Al|VI|db|50|945|4059273005713|76169990|0.052
|1264||kereszt peremkapocs 8-10mm,Al|VI|db|50|1439|4059273005720|76169990|0.064
|1270||multi-kapocs|VI|db|100|503|4059273005737|73269098|0.109
|1271||multi kapocs alu.|VI|db|100|718|4059273005744|76169990|0.077
|1272||multi kapocs réz|VI|db|100|1776|4059273005751|74199990|0.108
|1273||multi kapocs V2A|VI|db|100|1545|4059273005768|73269098|0.09
|1274||multi kapocs kétfémes|VI|db|100|1778|4059273005775|76169990|0.099
|1275||multi kapocs V2A csavarral|VI|db|100|768|4059273005782|73269098|0.095
|1276||multi kapocs Alu, V2A csavarral|VI|db|100|814|4059273005799|76169990|0.063
|1277||multi kapocs 4mm, StFz|VI|db|75|1073|4059273005805|73269098|0.146
|1278||multi kapocs 10mm|VI|db|75|820|4059273005812|73269098|0.137
|1279||multi kapocs V2A 10mm|VI|db|75|2205|4059273005829|73269098|0.1314
|1280||kettõs csatlakozó Rd 8-10|VI|db|100|875|4059273005836|73269098|0.087
|1281||kettõs csatlakozó Rd 8-10 Al|VI|db|100|957|4059273005843|76169990|0.0576
|1282||kettõs csatlakozó réz|VI|db|100|1400|4059273005850|74199990|0.09
|1283||kettõs csatlakozó V2A|VI|db|100|1202|4059273005867|73269098|0.078
|1284||kettõs csatlakozó|VI|db|100|294|4059273005874|73269098|0.026
|1285||kettõs csatlakozó Al|VI|db|100|291|4059273005881|76169990|0.0088
|1286||kettõs csatlakozó réz|VI|db|100|635|4059273005898|74199990|0.0291
|1287||kettõs csatlakozó V2A|VI|db|100|619|4059273005904|73269098|0.025
|1292||peremkapocs 8-10mm,StFz|VI|db|50|932|4059273005935|73269098|0.123
|1293||peremkapocs réz 8-10mm|VI|db|50|2938|4059273005942|74199990|0.128
|1295||peremkapocs Al 8-10mm 4mm|VI|db|50|972|4059273005959|76169990|0.06
|1296||kereszt peremkapocs cinköntvény|VI|db|50|1777|4059273005966|73259990|0.108
|1297||kereszt peremkapocs 8-10mm|VI|db|50|1379|4059273005973|73269098|0.1292
|1298||kereszt peremkapocs réz 8-10mm|VI|db|50|3161|4059273005980|74199990|0.1197
|1299||kereszt peremkapocs V2A 8-10mm|VI|db|50|2193|4059273005997|73269098|0.128
|1300||ereszcsatorna-kapocs réz|VI|db|50|2801|4059273006000|74199990|0.161
